board_state,pawn_move,before_eval,after_eval,eval_change
r1b3k1/5qpp/1pnBp1p1/p2pP2r/7N/P2Q4/2P2PPP/4RRK1 w - - 2 22,g2g3,-199,-268,69
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,34,31,-3
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,32,-6,-38
rnbqkbnr/pp1ppppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,c2c3,-1,-41,40
r1bq1rk1/pp2ppbp/2np1np1/8/2B1PB2/2N2N2/PP3PPP/2RQ1RK1 w - - 8 10,a2a3,-46,-69,23
r1bq1rk1/1p2ppbp/p1np1np1/8/2B1PB2/P1N2N2/1P3PPP/2RQ1RK1 w - - 0 11,b2b4,-41,-103,62
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,33,19,-14
rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e4,97,96,-1
rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,c2c4,90,-17,-107
rn1qkbnr/1bpppppp/pp6/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq - 0 4,f2f4,103,-22,-125
rn1qkbnr/1bpp1ppp/pp2p3/8/2PPPP2/8/PP4PP/RNBQKBNR w KQkq - 0 5,d4d5,40,21,-19
rn1qkbnr/1bpp1ppp/pp6/3p4/2P1PP2/8/PP4PP/RNBQKBNR w KQkq - 0 6,e4d5,54,-2,-56
rn2kbnr/1bppqp1p/pp4p1/3P4/2P2P2/8/PP2Q1PP/RNB1KBNR w KQkq - 2 8,f4f5,22,-30,-52
rn1k2nr/1b1pbp1p/ppp5/3P1B2/2P5/8/PP4PP/RNB1K1NR w KQ - 0 12,d5c6,113,54,-59
rn1k2nr/1b1pbp1p/pp6/8/2P2B2/8/PP5P/RN2KR2 w Q - 2 17,h2h3,-574,-708,134
rn1k2nr/1b1p1p1p/pp3b2/8/2P2B2/7P/PP6/RN2KR2 w Q - 1 18,h3h4,-571,-801,230
rn1k2nr/3p1p1p/b7/pp6/2P2B1P/8/P3K3/2R5 w - - 0 24,c4b5,-789,-827,38
rnbqkbnr/p1pppppp/1p6/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,d2d4,57,26,-31
rn1qkbnr/pbpppppp/1p6/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,c2c4,26,27,1
rn1qk1nr/pbppppbp/1p4p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,e2e4,101,95,-6
rn1qk1nr/pbpp1pbp/1p2p1p1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 6,d4d5,107,80,-27
rn1qk2r/pbppnpbp/1p4p1/3p4/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQkq - 0 8,e4d5,123,110,-13
rn1qk2r/p2pnpbp/1p4p1/3b4/2P5/2N2N2/PP3PPP/R1BQK2R w KQkq - 0 11,c4d5,58,57,-1
r2q1rk1/p2nnpbp/1p1p2p1/3P4/8/2N2N2/PP3PPP/R1BQR1K1 w - - 4 14,a2a3,66,13,-53
r2q1rk1/p2nnp1p/1p1p2p1/3P4/8/P1b2N2/1P3PPP/1RBQR1K1 w - - 0 16,b2c3,59,61,2
2rq1rk1/p2nnp1p/1p1p2p1/3P4/8/P1P2N2/5PPP/1RBQR1K1 w - - 1 17,c3c4,71,45,-26
4q1k1/p4p1p/1p1p2p1/2nP1nN1/2P2B2/P7/2Q2PPP/6K1 w - - 0 24,g2g3,2,-78,-80
4q3/p4kn1/1p4p1/3P2p1/2P1n3/P5P1/1Q3P1P/6K1 w - - 0 32,f2f3,-493,-548,55
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,33,30,-3
rnbqkbnr/pppp1p1p/4p1p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d2d4,91,93,2
rnbq1rk1/ppppn1bp/4ppp1/8/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 w - - 0 7,e4e5,139,31,-108
rnb2rk1/pp1pq1b1/2p1p2p/4Ppp1/2BP4/2N4N/PPPQ1PPP/R4RK1 w - - 0 13,f2f4,48,45,-3
rnb2rk1/pp2q1b1/2ppp2p/4Pp2/2BP1Pp1/2N5/PPPQ1NPP/R4RK1 w - - 0 15,h2h3,88,58,-30
rnb2rk1/pp2q1b1/2ppp2p/4Pp2/2BP1P2/2N4p/PPPQ1NP1/R4RK1 w - - 0 16,g2h3,66,-3,-69
2r3rk/pp1bq1b1/3Np1Rp/3pP2B/3QpP2/7P/PPP4K/6R1 w - - 4 27,c2c3,361,189,-172
8/p2b4/1p2prk1/3pP2p/4p1BK/2P4P/PP6/8 w - - 0 38,e5f6,-228,-657,429
8/p2b4/1p4K1/3pk3/4p3/2P4P/PP6/8 w - - 2 42,h3h4,-694,-769,75
8/p7/1p4K1/3pk3/4p2P/2P4b/PP6/8 w - - 1 43,h4h5,-684,-778,94
8/p7/1p4K1/3pk2P/4p1b1/2P5/PP6/8 w - - 1 44,h5h6,-675,-775,100
8/p5K1/1p5P/3p4/5k2/2P1p3/PP6/8 w - - 0 48,h6h7,4,1,-3
8/p5KP/1p6/3p4/5k2/2P5/PP2p3/8 w - - 0 49,h7h8q,0,-1,-1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,28,32,4
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,26,22,-4
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,e4e5,28,21,-7
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c2c3,19,18,-1
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,f2f4,18,-80,-98
r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P1P2/2P5/PP4PP/RNBQKBNR w KQkq - 1 6,g2g4,-19,-145,126
r1bqkb1r/pp2nppp/2n1p3/3pP3/3p1PP1/2P5/PP5P/RNBQKBNR w KQkq - 0 7,c3d4,-142,-177,35
2r1k2r/pp1b2pp/1qn1p1p1/3pP3/1b1P1PP1/2N1BN2/PP5P/R2QK2R w KQk - 0 13,a2a3,-92,-141,49
2r1k2r/pp1b2pp/1qn1p1p1/3pP3/3P1PP1/P1b1BN2/1P5P/R2QK2R w KQk - 0 14,b2c3,-131,-148,17
2r2rk1/1pqb2pp/p3p1p1/3pP1N1/2nP1PP1/P1P1B3/4Q2P/2R1K2R w K - 0 19,a3a4,-155,-265,110
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,27,-2
r1bqkbnr/pppp1pp1/2n4p/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4,55,64,9
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,37,31,-6
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,d2d4,35,26,-9
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,d4e5,75,44,-31
rn1q1rk1/ppp2ppp/5n2/4p3/4P1b1/2NBbN2/PPP2PPP/R2Q1RK1 w - - 0 9,f2e3,-66,-71,5
r2q1rk1/ppp2ppp/2n2n2/3bp1N1/4P3/3BP3/PPP3PP/3RQRK1 w - - 0 14,e4d5,173,208,35
r2q1r2/ppp2pk1/5pnp/3Pp3/6Q1/3BP3/PPP3PP/3R1RK1 w - - 2 19,h2h4,273,180,-93
r2q3r/ppp2pk1/5pnp/3Pp3/6QP/3BP3/PPP3P1/3R1RK1 w - - 1 20,h4h5,518,552,34
r6r/ppp1qpk1/5pnp/3Pp2P/6Q1/3BP3/PPP3P1/3R1RK1 w - - 1 21,h5g6,585,553,-32
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,26,22,-4
rnbqkbnr/pp1ppppp/2p5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,44,21,-23
rn1qkb1r/pp2pppp/2p2n2/6B1/2pP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e2e3,40,31,-9
r2qk2r/1p2bpp1/1np1pn1p/p7/3P2bB/2NBPN2/PPQ2PPP/2KR3R w kq - 0 12,a2a3,4,12,8
r2q1rk1/1p2bpp1/1np1pn1p/p7/3P2bB/P1NBPN2/1PQ2PPP/2KR3R w - - 1 13,h2h3,11,0,-11
r2q1rk1/1p2bpp1/1np1pn1p/p6b/3P3B/P1NBPN1P/1PQ2PP1/2KR3R w - - 1 14,g2g4,196,236,40
r5k1/1p2q1p1/1np1p1Qp/p2n4/3PN1P1/P3Pr1P/1P3P2/2KR3R w - - 0 19,h3h4,-319,-355,36
r5k1/1p3rp1/2p1p2p/p2n4/2nPN1PP/P3P3/1P3P2/2KR3R w - - 0 22,g4g5,-380,-412,32
r5k1/1p3rp1/2p1p3/p2n2Pp/2nPN2P/P3P3/1P3P2/2KR3R w - - 0 23,g5g6,-398,-400,2
r5k1/6p1/1pp3P1/3n2Np/p2P3P/Pn2P3/KP3r2/7R w - - 0 31,e3e4,-736,-10000,9264
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,28,28,0
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d2d4,40,43,3
r1bqkbnr/p3pppp/p2p4/2p5/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,d4c5,114,138,24
r2qkbnr/pb2pppp/p2p4/2P5/4P3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 6,c5d6,200,212,12
r2qkb1r/pb3ppp/p2p1n2/8/4P3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 2 8,e4e5,223,6,-217
r2qkb1r/pb3ppp/p2p4/4P3/6n1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 1 9,e5d6,181,86,-95
r2qk2r/pb3ppp/p2b4/8/6n1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 10,h2h3,79,23,-56
r3k2r/pb2qppp/p2b4/8/8/2N1nN1P/PPP2PP1/R2QK2R w KQkq - 0 12,f2e3,-225,-234,9
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,29,20,-9
rnbqk1nr/ppppbppp/4p3/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,c2c4,87,27,-60
rnbqk1nr/pp2bppp/2p1p3/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,c4d5,63,11,-52
rnbqk1nr/pp2bppp/4p3/3p4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,e2e3,29,21,-8
r3k2r/1pq2ppp/p1bbpn2/3pN3/3P4/2N1P3/PPQB1PPP/R4RK1 w kq - 4 14,f2f4,0,-28,-28
2r1k2r/1pqnbppp/p3p3/8/Q1pPNP2/4P3/PP1B2PP/R1R3K1 w k - 4 20,b2b3,199,207,8
1qr3k1/1p1nbppp/p3p3/8/Q2PNP2/1P2P3/P2B2PP/R5K1 w - - 0 23,b3b4,325,40,-285
8/2q3pp/p3Qpk1/1pN5/3P1P2/4P3/P5PP/6K1 w - - 1 35,f4f5,627,578,-49
8/2q4p/Q4pp1/1pN2Pk1/3P4/4P3/P5PP/6K1 w - - 0 37,f5g6,931,616,-315
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,28,32,4
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,35,8,-27
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d4c5,147,118,-29
rnb1kb1r/pp3ppp/5n2/2p1p3/4P3/2N1B3/PPP2PPP/2KR1BNR w - - 4 8,f2f4,248,109,-139
r1b1kb1r/pp3ppp/2n2n2/2p1p3/4PP2/2N1B3/PPP3PP/2KR1BNR w - - 1 9,f4e5,281,96,-185
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,32,27,-5
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/5N2/PPPPBPPP/RNBQK2R w KQkq - 0 4,d2d3,16,-20,-36
rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P1N2/PPP1BPPP/RNBQK2R w KQkq - 1 5,e4e5,-7,-14,7
rnbqkb1r/pp1n1ppp/4p3/2ppP3/8/3P1N2/PPP1BPPP/RNBQK2R w KQkq - 1 6,d3d4,-14,-66,52
rnbqk2r/pp1nbppp/4p3/2ppP3/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 1 7,c2c3,-10,-12,2
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 w - - 3 9,h2h3,-2,-10,8
r1bq1rk1/pp1nb1pp/2n1pp2/2ppP3/3P4/2P2N1P/PP2BPP1/RNBQ1RK1 w - - 0 10,e5f6,-7,-7,0
r1bq1rk1/pp2b1pp/2n1pn2/2pp4/3P4/2P2N1P/PP2BPP1/RNBQ1RK1 w - - 0 11,d4c5,-3,-42,39
r4rk1/1p4p1/p1nNbn1p/3p2q1/4p3/2P1N3/PP2BPPK/R2Q1R2 w - - 2 23,c3c4,-351,-584,233
r4rk1/1p4p1/p1nNb2p/3n2q1/2Ppp3/8/PP2BPPK/R2Q1R2 w - - 0 25,c4d5,-530,-564,34
r4r1k/1Q4p1/p6p/4n3/4p2q/3p3B/PP3PPK/R4R2 w - - 1 31,g2g3,-418,-447,29
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,28,-1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4e5,61,-14,-75
rnbqkbnr/pp2pppp/8/2ppP3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,g2g3,-14,-100,86
r1bqkb1r/pp2pppp/2n4n/2ppP3/8/6P1/PPPPQP1P/RNB1KBNR w KQkq - 3 5,d2d4,-108,-252,144
r2qkb1r/pp2pppp/2n4n/2ppP3/3P2b1/6P1/PPP1QP1P/RNB1KBNR w KQkq - 1 6,f2f3,-220,-197,-23
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,30,24,-6
rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e4,90,91,1
rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,f2f4,91,-90,-181
rn1qkbnr/1bpppppp/pp6/8/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 0 4,c2c4,90,-26,-116
rn1qkbnr/1bpppppp/p7/1p6/2PPPP2/8/PP4PP/RNBQKBNR w KQkq - 0 5,c4b5,67,-11,-78
rn1qkbnr/1bpppppp/8/1p6/3PPP2/8/PP4PP/RNBQKBNR w KQkq - 0 6,d4d5,3,-95,-98
rn1qkbnr/2pppppp/b7/1p1P4/4PP2/8/PP4PP/RNBQKBNR w KQkq - 1 7,e4e5,60,-5,-65
rn1qkbnr/2pppppp/b7/3PP3/1p3P2/8/PP4PP/RNBQKBNR w KQkq - 0 8,f4f5,13,-82,-95
rn1qkbnr/3ppppp/b1p5/3PPP2/1p6/8/PP4PP/RNBQKBNR w KQkq - 0 9,a2a3,40,-124,-164
rn1qkbnr/3ppppp/2p5/3PPP2/1p6/P7/1P4PP/RNBQKbNR w KQkq - 0 10,a3b4,-132,-492,360
1n1qkbnr/3ppppp/2p5/3PPP2/1P6/8/1P4PP/rNBQKbNR w Kk - 0 11,d5c6,-501,-581,80
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,23,18,-5
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d3,26,12,-14
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6,h2h3,24,-11,-35
r2qk2r/ppp1b1pp/2nppn2/4p3/4P3/2NP1N1P/PPP2PP1/R1BQK2R w KQkq - 0 8,d3d4,2,-13,-15
5rk1/pppqb1pp/3p1n2/4n3/4P3/2N4P/PPP2PP1/R1BQ1RK1 w - - 2 13,f2f4,433,430,-3
5rk1/pppqb1pp/3p1n2/8/2n1PP2/2N4P/PPP3P1/R1BQ1RK1 w - - 1 14,b2b3,451,435,-16
5rk1/pppqb1pp/1n1p1n2/8/4PP2/1PN4P/P1P3P1/R1BQ1RK1 w - - 1 15,e4e5,429,364,-65
4n1k1/ppp1brpp/1n1pq3/4P3/5P2/BPN2Q1P/P1P3P1/3RR1K1 w - - 9 20,e5d6,694,689,-5
4n1k1/ppp1brpp/1n1P2q1/8/5P2/BPN2Q1P/P1P3P1/3RR1K1 w - - 1 21,d6e7,846,809,-37
7R/ppp1Prp1/1n4kp/8/5P2/BPN2Q1P/P1q3P1/4R1K1 w - - 3 25,e7e8q,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,27,30,3
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e4d5,26,19,-7
rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,d2d4,21,15,-6
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,h2h3,19,9,-10
r7/pp1q1p1k/2p1b2p/3p1pr1/3P1Q2/3B3P/PPP2PP1/R3R1K1 w - - 1 19,g2g3,228,229,1
6r1/1p1q1p1k/p1p1b3/3p1prp/3P1Q2/3B2PP/PPP2P1K/R5R1 w - - 0 22,a2a3,235,213,-22
6r1/3q1p1k/1pp1b3/p2p1prp/3P1Q2/P2B2PP/1PP2P1K/4R1R1 w - - 0 24,b2b3,268,248,-20
6r1/3q1p1k/1p2b3/p1pp1prp/3P1Q2/PP1B2PP/2P2P1K/4R1R1 w - - 0 25,d4c5,245,212,-33
8/3q1pk1/4b1r1/p1ppRprp/5Q2/PP1B2PP/2P2P1K/4R3 w - - 4 28,a3a4,194,206,12
8/5p2/3qbr1k/p1p1Rprp/P2p4/1P1B2PP/2P1QP1K/4R3 w - - 2 41,h3h4,335,101,-234
8/5p1k/3q2r1/1bp1Rp1p/P2p2rP/1P4P1/2P1QP1K/4R3 w - - 0 47,a4b5,200,180,-20
1q4k1/5pr1/8/1PQ1R3/3p2rP/1P4p1/2P2P1K/4R3 w - - 0 52,f2g3,300,397,97
rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,d2d4,41,35,-6
rnbqk1nr/ppppppbp/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,c2c4,65,25,-40
rnbqk1nr/pp1p1pbp/2p1p1p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e2e3,179,60,-119
rnbq1rk1/pp2n1bp/2p1p1p1/3p1p2/2PP4/2NBPN2/PPQ2PPP/R1B2RK1 w - - 0 9,c4d5,142,122,-20
rnbq1rk1/pp2n1bp/2p3p1/3p1p2/3P4/2NBPN2/PPQ2PPP/R1B2RK1 w - - 0 10,a2a3,133,89,-44
r1bq1rk1/pp1nn1bp/2p3p1/3p1p2/3P4/P1NBPN2/1PQ2PPP/R1B2RK1 w - - 1 11,b2b3,118,102,-16
r1bq1rk1/pp2n1bp/2p2np1/3p1p2/3P4/PPNBPN2/2Q2PPP/R1B2RK1 w - - 1 12,b3b4,94,77,-17
r4rk1/p5bp/1qp3p1/1p3p2/1P1Pp3/P1Q1P3/3B1PPP/5RK1 w - - 1 21,a3a4,-534,-559,25
3r2k1/p4rbp/2p3p1/1q3p2/pP1Pp3/Q1B1P3/5PPP/1R4K1 w - - 6 25,d4d5,-579,-719,140
3r2k1/p5rp/6p1/1q1p1p2/pP2p3/Q3P3/5PPP/1R4K1 w - - 0 27,h2h3,-626,-635,9
6k1/p1r4p/6p1/3p1p2/RP2p3/2r1P2P/5PPK/8 w - - 1 32,b4b5,-649,-642,-7
6k1/p1r4p/6p1/1r1p1p2/3Rp3/4P2P/5PPK/8 w - - 0 34,g2g3,-710,-735,25
8/p4k1p/6p1/1rrp1p2/3Rp3/4P1PP/5PK1/8 w - - 3 36,h3h4,-731,-768,37
8/p6p/6p1/1rrpkp2/3Rp2P/4P1PK/5P2/8 w - - 3 38,g3g4,-729,-742,13
8/p7/6p1/1rrpkp1p/3Rp1PP/4P2K/5P2/8 w - - 0 39,g4g5,-685,-787,102
8/p7/6p1/1rrpk1Pp/3Rpp1P/4P2K/5P2/8 w - - 0 40,e3f4,-767,-918,151
8/p7/6p1/1r1R2Pp/4pk1P/2r4K/5P2/8 w - - 1 42,f2f3,-10000,-10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,21,-8
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,21,-4,-25
rnbqkbnr/ppp2ppp/8/3pp3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d4e5,146,147,1
r2k2nr/ppp2ppp/8/4P3/1bBnpBb1/2N5/PPP2PPP/3RK1NR w K - 8 9,f2f3,593,529,-64
3r2nr/ppp2kpp/8/4Pb2/1R2pB2/2N2P2/PPP3PP/4K1NR w K - 1 13,f3e4,700,724,24
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,22,24,2
rnbqkbnr/pp3pp1/2pp3p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,d2d3,67,24,-43
rnbqkbnr/5pp1/2pp3p/pp2p3/4P3/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 0 7,a2a4,15,14,-1
rnbqkbnr/5pp1/3p3p/p1p1p3/Pp2P3/1B1P1N2/1PP1NPPP/R1BQK2R w KQkq - 0 9,c2c3,39,38,-1
rn1qkb1r/5pp1/3p1n1p/p1p1p3/Pp2P1b1/1BPP1N2/1P3PPP/R1BQK1NR w KQkq - 3 11,c3b4,15,-79,-94
rn1qkb1r/5pp1/3p1n1p/p3p3/Pp2P1b1/1B1P1N2/1P3PPP/R1BQK1NR w KQkq - 0 12,h2h3,53,39,-14
rn1qkb1r/5pp1/3p1n1p/p3p2b/Pp2P3/1B1P1N1P/1P3PP1/R1BQK1NR w KQkq - 1 13,g2g4,124,97,-27
r2qkb1r/5pp1/2np1nbp/p3p3/Pp2P1P1/1B1P3P/1P1N1P2/R1BQK1NR w KQkq - 3 15,h3h4,-3,-97,94
r2qkb1r/5pp1/3p1nbp/p3p3/Pp1nP1PP/1B1P4/1P1N1P2/R1BQK1NR w KQkq - 1 16,h4h5,-56,-50,-6
r2qkb1r/5ppb/3p3p/p3p2P/PpN1P1n1/1Q1P4/1P3P2/R1B1K1NR w KQkq - 0 19,f2f3,-135,-222,87
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,27,25,-2
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4e5,61,-13,-74
r3kbnr/p1q1pppp/2p5/2ppP3/6b1/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 7,c2c3,5,-109,-114
r3kbnr/p3pppp/2p5/2ppq3/8/2P2Q2/PP1P1PPP/RNB2RK1 w kq - 0 9,d2d3,-137,-142,5
r3kb1r/p3pppp/2p2n2/2pp1q2/5B2/2PP1Q2/PP3PPP/RN3RK1 w kq - 3 11,h2h3,-135,-272,137
r3kb1r/p4ppp/2p1pn2/2pp1q2/5B2/2PP1Q1P/PP3PP1/RN3RK1 w kq - 0 12,g2g4,-144,-169,25
r3kb1r/p4pp1/2p1pnq1/2pp3p/5BP1/2PP2QP/PP3P2/RN3RK1 w kq - 0 14,g4g5,-264,-234,-30
r3k2r/p3bpp1/2p1p1q1/2pp2Pn/7p/2PPB2P/PP3PQ1/RN3RK1 w kq - 4 17,f2f4,-215,-386,171
r2k3r/p4pp1/2p5/3p2P1/2p2BQp/N1Pq3P/PP6/4R1K1 w - - 2 26,g5g6,201,-20,-221
r6r/p2k2p1/2p3p1/3p2B1/2p4p/N1P4P/PP6/4R1K1 w - - 2 29,b2b3,-22,-157,135
8/p7/2p5/3pR3/2pB3p/NPPk1r1P/P7/6K1 w - - 3 38,b3c4,474,484,10
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,33,19,-14
rnbqkbnr/pp1ppppp/2p5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,38,26,-12
rnbq1rk1/pp2bpp1/2p1pn1p/3p4/2PP4/2N2NB1/PP2PPPP/R2QKB1R w KQ - 2 8,e2e3,15,15,0
r1bq1rk1/pp2bpp1/2p1pn1p/8/3P4/2nBPNB1/PP3PPP/R2Q1RK1 w - - 0 13,b2c3,58,37,-21
r1bq1rk1/pp2b1p1/2p1p2p/3n1p2/3P4/2PBPNB1/P1Q2PPP/R4RK1 w - - 0 15,e3e4,187,175,-12
4rnk1/pp1r2p1/2p1pq1p/8/3P4/2PB2R1/P1Q2PPP/5RK1 w - - 6 31,h2h3,156,132,-24
5nk1/pp1r2p1/2p4p/3qp3/3P4/2P2R1P/P3QPP1/5RK1 w - - 0 36,d4e5,438,418,-20
5nk1/pp4p1/2p4p/4P3/8/2P2R1P/P2r1PP1/5RK1 w - - 0 38,e5e6,434,387,-47
5nk1/pp4p1/2p1P2p/8/8/2P1r2P/P4PP1/5RK1 w - - 0 40,f2e3,385,375,-10
8/pp4p1/2p4p/3k4/8/2PKP2P/P5P1/8 w - - 5 47,e3e4,-176,-215,39
8/pp4p1/2p4p/4k3/4P3/2PK3P/P5P1/8 w - - 1 48,c3c4,-259,-323,64
8/p5p1/1p5p/2p1k3/2P1P3/4K2P/P5P1/8 w - - 0 50,g2g4,-3,-112,109
8/p7/1p4pp/2p1k3/2P1P1P1/4K2P/P7/8 w - - 0 51,h3h4,-16,-6,-10
8/p7/1p5p/2p1k1p1/2P1P1PP/4K3/P7/8 w - - 0 52,h4g5,0,0,0
8/8/p7/1pp1k1p1/2P1P1P1/4K3/P7/8 w - - 0 55,c4b5,-522,-643,121
8/8/8/6p1/2K2kP1/8/P1p5/8 w - - 0 61,a2a4,-800,-949,149
