board_state,pawn_move,before_eval,after_eval,eval_change
rn1qkbnr/pp2pppp/8/2p2b2/2B2P2/2N5/PPPP2PP/R1BQK1NR w KQkq - 4 6,d2d3,50,26,-24
rn1qkbnr/1p2pppp/p7/2p2b2/2B2P2/2NP4/PPP3PP/R1BQK1NR w KQkq - 0 7,g2g4,104,94,-10
rn1qkbnr/1p1bpppp/p7/2p5/2B2PP1/2NP4/PPP4P/R1BQK1NR w KQkq - 1 8,a2a4,115,24,-91
rn2kbnr/1p3ppp/p3p3/2p5/P1B2PP1/2NP2q1/1PPB3P/R3K2R w KQkq - 0 13,h2g3,148,142,-6
2kr1bnr/1p3ppp/p1n1p3/2p5/P1B2PP1/2NP2P1/1PPB4/2KR3R w - - 3 15,f4f5,223,115,-108
2kr1bnr/1p3ppp/p3p3/2p1nP2/P1B3P1/2NP2P1/1PPB4/2KR3R w - - 1 16,f5e6,178,163,-15
2kr1bnr/1p3ppp/p3P3/2p5/P1n3P1/2NP2P1/1PPB4/2KR3R w - - 0 17,d3c4,173,170,-3
2kr2nr/1p4pp/p3p3/2p5/P1P2bP1/2N3P1/1PP5/2K1R2R w - - 0 20,g3f4,140,162,22
2kr3r/1p4pp/p3p2n/2p5/P1P2PP1/2N5/1PP5/2K1R2R w - - 1 21,g4g5,188,185,-3
8/1p1k3p/p5p1/2p3P1/P1r2P2/8/1PP5/2K2R2 w - - 0 31,b2b3,9,4,-5
8/8/p4r2/2R3p1/P4k2/1PK5/2P5/8 w - - 0 41,b3b4,0,0,0
8/8/p5r1/5R2/PP4p1/2K5/2P3k1/8 w - - 6 45,b4b5,0,6,6
8/8/6r1/1p3R2/P5p1/2K5/2P3k1/8 w - - 0 46,a4b5,5,3,-2
8/8/6r1/1P6/1K6/8/2P5/6k1 w - - 0 51,c2c4,2,0,-2
8/8/6r1/1P6/1KP5/8/5k2/8 w - - 1 52,c4c5,0,0,0
8/8/6r1/1PP5/1K6/4k3/8/8 w - - 1 53,b5b6,266,239,-27
8/8/1P4r1/2P5/1K1k4/8/8/8 w - - 1 54,b6b7,210,218,8
8/1PK5/8/2k5/1r6/8/8/8 w - - 0 58,b7b8q,0,0,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,33,-28,-61
rnbqkbnr/pppp1ppp/8/8/4p3/1P6/PBPPPPPP/RN1QKBNR w KQkq - 0 3,d2d3,28,16,-12
rnbqkb1r/ppp2ppp/5n2/3p4/4p3/1P1P3N/PBP1PPPP/RN1QKB1R w KQkq - 0 5,d3e4,-61,-34,-27
rnb1kb1r/ppp2ppp/8/3p4/4nN1q/1P6/PBP1PPPP/RN1QKB1R w KQkq - 2 7,g2g3,83,59,-24
rnb1k2r/ppp2ppp/8/2bp4/4nN1q/1P4P1/PBP1PP1P/RN1QKB1R w KQkq - 1 8,f2f3,155,-10000,-10155
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,30,31,1
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,35,41,6
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,e4e5,41,25,-16
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c2c3,22,30,8
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,f2f4,43,-24,-67
rnbqkb1r/pp2nppp/4p3/3pP3/3p1P2/2P5/PP4PP/RNBQKBNR w KQkq - 0 6,c3d4,-42,-48,6
r3k2r/pp2bppp/1qb1p3/3pPn2/3P1P2/2N2N2/PP4PP/R1BQ1RK1 w kq - 2 12,a2a3,63,-89,-152
r4rk1/pp2bppp/1qb1p3/3pPn2/3P1P2/P1N2N2/1P4PP/R1BQ1RK1 w - - 1 13,b2b4,16,-168,-184
2r2rk1/4bppp/1pq1p3/3pPn2/pPbP1P2/P1BN1N2/5RPP/R2Q2K1 w - - 0 20,g2g4,-178,-415,237
5rk1/4bppp/1p2p3/3pPn2/pP1P1PP1/P1r2N2/5R1P/R5K1 w - - 0 23,g4f5,-291,-255,-36
2r3k1/4bpp1/1p6/3pPp1p/pP1P1P2/P1r2N2/R4RKP/8 w - - 0 26,h2h4,-233,-267,34
6k1/4b1p1/1pr2p2/3pPpNp/pP1P1P1P/P1r5/R4RK1/8 w - - 0 28,e5f6,-230,-244,14
6k1/8/1pr3p1/3pbp1p/pP1P1P1P/P1r5/R4RK1/8 w - - 0 31,f4e5,-224,-336,112
8/6k1/1pr3p1/3pPp1p/pP1P3P/P2r4/R3R1K1/8 w - - 3 33,e5e6,-259,-272,13
8/6k1/1pr1P1p1/3p1p1p/pP1r3P/P7/R3R1K1/8 w - - 0 34,e6e7,251,239,-12
8/4P1k1/1pr3p1/5p1p/pP2p2P/P7/R4K2/8 w - - 0 37,e7e8q,610,672,62
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,32,3
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,40,34,-6
rnbqkbnr/p1pp1ppp/1p2p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d4d5,98,28,-70
rnbqk1nr/p1pp1ppp/1p2p3/3P4/1b2P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,c2c3,82,72,-10
rnbqk1nr/p1pp1ppp/1p2p3/2bP4/4P3/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,b2b4,55,22,-33
rnbqk1nr/p1pp1ppp/1p1b4/3p4/1P2P3/2P2N2/P4PPP/RNBQKB1R w KQkq - 0 7,e4e5,170,121,-49
r1b3nr/p1kn2pp/1pp5/3p2B1/1P6/1BP5/P4PPP/RN2R1K1 w - - 6 17,c3c4,241,251,10
r1b4r/pk1n2pp/1pp2n2/3p4/1PP2B2/1B6/P4PPP/RN2R1K1 w - - 3 19,c4d5,327,307,-20
r1b4r/pk4pp/1p3n2/3p4/1P3B2/2N5/P4PPP/R3R1K1 w - - 2 22,a2a4,334,192,-142
r6r/pk1b2pp/1p3n2/3p4/PP3B2/2N5/5PPP/R3R1K1 w - - 1 23,a4a5,194,185,-9
r6r/pk1b2pp/5n2/Pp1p4/1P3B2/2N5/5PPP/R3R1K1 w - - 0 24,a5a6,340,341,1
4r2r/p2b2pp/P1k2n2/1p1pB3/1P6/2N5/5PPP/R3R1K1 w - - 3 26,f2f4,368,306,-62
8/7p/P2B4/7R/5Pr1/5bk1/8/2K5 w - - 18 54,f4f5,304,382,78
8/7R/P2B4/5P2/2r5/5b2/1K2k3/8 w - - 3 57,a6a7,416,379,-37
b7/P7/3B4/5P2/2r5/8/1K3R2/3k4 w - - 5 60,f5f6,481,564,83
b7/P3B3/1r3P2/5R2/8/2K5/4k3/8 w - - 7 64,f6f7,581,599,18
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,33,30,-3
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4d5,70,53,-17
rn2kbnr/ppp1pppp/8/4q3/6b1/2N5/PPPPBPPP/R1BQK1NR w KQkq - 4 5,d2d4,111,86,-25
r3kbnr/ppp1pppp/8/1q6/1n1PB3/4B3/PPP2PPP/R2QK1NR w KQkq - 0 11,c2c3,110,100,-10
2kr3r/2p2ppp/1p1bp3/1B1n4/3P4/1R2BK2/P4PPP/1R6 w - - 2 24,a2a4,-30,-35,5
3r3r/1kp2ppp/1p1bp3/1B1n4/P2P4/1R2BK2/5PPP/1R6 w - - 1 25,a4a5,-43,-173,130
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,31,27,-4
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,d2d3,8,0,-8
rnbqk2r/pppp1ppp/8/4p1B1/2B1n3/3P4/PPP2KPP/RN1Q2NR w kq - 0 6,d3e4,350,329,-21
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,27,32,5
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f2f4,35,-22,-57
